delta_a,delta_b,similarity,hamming_similarity,mod_similarity,factor_similarity,bitlength_similarity,popcount_similarity,x_hamming_similarity,y_hamming_similarity,carry_chain_similarity,second_difference_similarity,cf_prefix_similarity
1,2,0.577240625,0.9921875,0.04,0.5,0.5,1.0,0.515625,0.51171875,1.0,0.6666666666666666,0.0
1,3,0.47585937500000003,0.9921875,0.0,0.5,0.5,1.0,0.48046875,0.49609375,0.25,0.16666666666666666,0.0
1,4,0.42909479166666664,0.984375,0.04,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5234375,0.48828125,0.5,0.13333333333333333,0.0
1,5,0.43151249999999997,0.984375,0.08,0.3333333333333333,0.25,0.3333333333333333,0.51953125,0.5078125,0.25,0.5,0.0
1,6,0.3796021522038567,0.98828125,0.04,0.2,0.25,0.25,0.51171875,0.48046875,0.3333333333333333,0.01652892561983471,0.0
1,7,0.3971729793233083,0.984375,0.08,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.53125,0.5234375,0.25,0.021052631578947368,0.0
1,8,0.3458242984693878,0.98046875,0.0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.5078125,0.4921875,0.25,0.01020408163265306,0.0
1,9,0.36623014520202024,0.984375,0.08,0.3333333333333333,0.2,0.2,0.4921875,0.42578125,0.1,0.003367003367003367,0.0
1,10,0.42983355137479645,0.984375,0.08,0.5,0.1111111111111111,0.3333333333333333,0.5625,0.44921875,0.5,0.002254791431792559,0.0
1,11,0.3800262482231698,0.96875,0.08,0.3333333333333333,0.1,0.14285714285714285,0.49609375,0.515625,0.3333333333333333,0.001990049751243781,0.0
1,12,0.35019106692725877,0.96875,0.0,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.515625,0.5078125,0.09090909090909091,0.0007155635062611807,0.0
1,13,0.35207147952803214,0.9765625,0.04,0.14285714285714285,0.08333333333333333,0.2,0.5078125,0.47265625,0.3333333333333333,0.00018190086402910413,0.0
1,14,0.3526343406593407,0.96484375,0.04,0.3333333333333333,0.07692307692307693,0.1,0.5078125,0.48828125,0.14285714285714285,0.0002403846153846154,0.0
1,15,0.38295580304185733,0.984375,0.04,0.3333333333333333,0.07142857142857142,0.2,0.53515625,0.515625,0.3333333333333333,0.00010167768174885612,0.0
1,16,0.3723676751255702,0.96484375,0.04,0.3333333333333333,0.06666666666666667,0.125,0.5234375,0.5078125,0.3333333333333333,3.4168759503186236e-05,0.0
1,17,0.3527561193648372,0.96484375,0.08,0.3333333333333333,0.0625,0.1,0.51953125,0.47265625,0.09090909090909091,3.570153516601214e-05,0.0
1,18,0.4649156032580018,0.97265625,0.04,1.0,0.058823529411764705,0.125,0.46484375,0.5625,0.5,5.7650843431839405e-06,0.0
1,19,0.3612866798155167,0.94921875,0.16,0.3333333333333333,0.05555555555555555,0.07142857142857142,0.50390625,0.48828125,0.125,4.518089300035015e-06,0.0
1,20,0.3397394341911333,0.94921875,0.12,0.2,0.05263157894736842,0.07142857142857142,0.48828125,0.4765625,0.16666666666666666,8.087604936674054e-06,0.0
1,21,0.3573475728750992,0.953125,0.04,0.5,0.05,0.07692307692307693,0.44921875,0.50390625,0.09090909090909091,1.4331164550431368e-06,0.0
1,22,0.358846001378019,0.96484375,0.0,0.5,0.047619047619047616,0.1,0.453125,0.4765625,0.16666666666666666,3.205860312651527e-07,0.0
1,23,0.4220030325732439,0.953125,0.12,1.0,0.043478260869565216,0.07692307692307693,0.45703125,0.45703125,0.0625,2.014715684833593e-07,0.0
1,24,0.37765837954903736,0.94921875,0.08,0.5,0.041666666666666664,0.08333333333333333,0.4609375,0.51953125,0.25,7.702617349375318e-07,0.0
1,25,0.3304687533279968,0.94921875,0.0,0.3333333333333333,0.041666666666666664,0.08333333333333333,0.46484375,0.48828125,0.08333333333333333,5.546661483866176e-08,0.0
1,26,0.3487326725138045,0.9609375,0.0,0.3333333333333333,0.04,0.09090909090909091,0.4921875,0.48046875,0.25,3.432098370528928e-08,0.0
1,27,0.350542550167879,0.9453125,0.08,0.25,0.038461538461538464,0.06666666666666667,0.5078125,0.51171875,0.25,3.4849265340023673e-08,0.0
1,28,0.38386296322418534,0.95703125,0.16,0.5,0.037037037037037035,0.08333333333333333,0.4765625,0.48046875,0.2,4.353706392101276e-09,0.0
1,29,0.33563540667868297,0.94921875,0.04,0.25,0.034482758620689655,0.07142857142857142,0.515625,0.48828125,0.14285714285714285,4.579034719653877e-09,0.0
1,30,0.356983622225317,0.92578125,0.04,0.5,0.034482758620689655,0.05,0.5078125,0.48046875,0.125,2.5594363834426785e-08,0.0
1,31,0.31819776546580436,0.9296875,0.0,0.2,0.034482758620689655,0.05263157894736842,0.54296875,0.5078125,0.0625,6.551189214694651e-10,0.0
1,32,0.36353064520194533,0.95703125,0.08,0.3333333333333333,0.03225806451612903,0.08333333333333333,0.5703125,0.48046875,0.2,6.775827168952009e-10,0.0
1,33,0.3524629465467009,0.9375,0.12,0.3333333333333333,0.03125,0.06666666666666667,0.46875,0.52734375,0.14285714285714285,1.9688244329458316e-09,0.0
1,34,0.32841746795608207,0.953125,0.0,0.25,0.03125,0.07692307692307693,0.49609375,0.46875,0.16666666666666666,1.227362935851524e-10,0.0
1,35,0.34400659138992645,0.9140625,0.08,0.3333333333333333,0.029411764705882353,0.047619047619047616,0.546875,0.52734375,0.058823529411764705,5.619730943025e-11,0.0
1,36,0.3345034304618961,0.9296875,0.04,0.25,0.02857142857142857,0.05263157894736842,0.5390625,0.5,0.14285714285714285,1.7947175797141387e-10,0.0
1,37,0.38662762605134293,0.9296875,0.2,0.5,0.02857142857142857,0.058823529411764705,0.51953125,0.53125,0.125,1.5380657072188647e-11,0.0
1,38,0.3242812176135285,0.921875,0.08,0.2,0.02702702702702703,0.05263157894736842,0.546875,0.46484375,0.07142857142857142,3.974775978882638e-12,0.0
1,39,0.3454106570518146,0.90234375,0.0,0.5,0.02564102564102564,0.041666666666666664,0.51953125,0.4609375,0.125,8.876042225468372e-12,0.0
1,40,0.34381012135129424,0.9296875,0.08,0.25,0.02631578947368421,0.058823529411764705,0.5390625,0.53515625,0.14285714285714285,2.0355787510002934e-12,0.0
1,41,0.3798458411654525,0.921875,0.16,0.5,0.025,0.05263157894736842,0.51171875,0.53515625,0.14285714285714285,6.499173967240031e-13,0.0
1,42,0.3905703869047964,0.9453125,0.16,0.5,0.023809523809523808,0.06666666666666667,0.48828125,0.53515625,0.25,5.746277351840336e-13,0.0
1,43,0.36044370421248945,0.90234375,0.08,0.5,0.023809523809523808,0.038461538461538464,0.515625,0.52734375,0.1,5.876736544544815e-13,0.0
1,44,0.3252774891774936,0.92578125,0.04,0.25,0.023809523809523808,0.05,0.5234375,0.48046875,0.09090909090909091,7.456980882591411e-14,0.0
1,45,0.3064223484848517,0.90625,0.04,0.2,0.022727272727272728,0.04,0.47265625,0.4609375,0.08333333333333333,5.428029799850181e-14,0.0
1,46,0.41638923611114764,0.91015625,0.08,1.0,0.022222222222222223,0.041666666666666664,0.44140625,0.5078125,0.16666666666666666,6.09323845321513e-13,0.0
1,47,0.3235556482919263,0.9140625,0.04,0.25,0.021739130434782608,0.047619047619047616,0.5,0.48828125,0.125,1.3663851447380888e-14,0.0
1,48,0.3473819977894521,0.921875,0.12,0.3333333333333333,0.02127659574468085,0.047619047619047616,0.5234375,0.5,0.09090909090909091,1.2586263736883277e-13,0.0
1,49,0.3057774748817968,0.90625,0.0,0.1111111111111111,0.02127659574468085,0.04,0.5234375,0.53515625,0.1111111111111111,1.6056423197882894e-15,0.0
1,50,0.31758456439393956,0.91015625,0.08,0.125,0.02,0.045454545454545456,0.53515625,0.5234375,0.08333333333333333,2.8165161984464045e-15,0.0
1,51,0.3337375000000003,0.90234375,0.08,0.16666666666666666,0.02,0.041666666666666664,0.52734375,0.52734375,0.25,5.1352864587159945e-15,0.0
1,52,0.3281686274509806,0.8984375,0.08,0.25,0.0196078431372549,0.04,0.52734375,0.5,0.1,3.01394125135377e-15,0.0
1,53,0.34093469887955186,0.88671875,0.0,0.5,0.0196078431372549,0.03333333333333333,0.4921875,0.47265625,0.14285714285714285,1.186228083571536e-16,0.0
1,54,0.3215693287037037,0.890625,0.04,0.25,0.018518518518518517,0.037037037037037035,0.51953125,0.49609375,0.125,3.3912195022262337e-16,0.0
1,55,0.31422616783323193,0.8828125,0.0,0.25,0.018867924528301886,0.03225806451612903,0.53515625,0.4765625,0.125,2.5045813546244837e-17,0.0
1,56,0.3413285510037348,0.890625,0.12,0.3333333333333333,0.017857142857142856,0.037037037037037035,0.48046875,0.58203125,0.058823529411764705,6.192696741358186e-17,0.0
1,57,0.32148534902597403,0.88671875,0.04,0.25,0.01818181818181818,0.03571428571428571,0.50390625,0.5078125,0.14285714285714285,7.594086732058649e-18,0.0
1,58,0.3485890325670498,0.8984375,0.12,0.3333333333333333,0.017241379310344827,0.037037037037037035,0.5234375,0.4765625,0.2,7.020567638347582e-18,0.0
1,59,0.3447710701904028,0.8671875,0.04,0.5,0.01694915254237288,0.02857142857142857,0.51953125,0.50390625,0.09090909090909091,6.265177911109429e-18,0.0
1,60,0.29742327586206896,0.8828125,0.04,0.125,0.017241379310344827,0.034482758620689655,0.46484375,0.546875,0.05,9.124758596141048e-19,0.0
1,61,0.31546993129218903,0.86328125,0.12,0.2,0.01639344262295082,0.029411764705882353,0.5078125,0.47265625,0.1,7.685590465172325e-19,0.0
1,62,0.3396818141772838,0.87109375,0.04,0.5,0.016129032258064516,0.029411764705882353,0.484375,0.50390625,0.07142857142857142,5.374061553003417e-19,0.0
1,63,0.34484379480286736,0.890625,0.12,0.3333333333333333,0.016129032258064516,0.037037037037037035,0.53515625,0.5,0.125,5.047608352436246e-19,0.0
1,64,0.3581890873015873,0.89453125,0.08,0.5,0.015873015873015872,0.03571428571428571,0.546875,0.48046875,0.1111111111111111,6.646438709449632e-19,0.0
1,65,0.3311318685807656,0.87109375,0.08,0.3333333333333333,0.015873015873015872,0.029411764705882353,0.51171875,0.47265625,0.14285714285714285,2.835556743390599e-20,0.0
1,66,0.30380047348484845,0.87109375,0.12,0.125,0.015151515151515152,0.03125,0.4765625,0.4765625,0.09090909090909091,2.1491590323371292e-18,0.0
1,67,0.32137168926231435,0.859375,0.0,0.3333333333333333,0.015151515151515152,0.02702702702702703,0.484375,0.54296875,0.14285714285714285,2.027349573439499e-19,0.0
1,68,0.30930634469696966,0.875,0.0,0.3333333333333333,0.015151515151515152,0.030303030303030304,0.45703125,0.47265625,0.08333333333333333,3.3569085869152238e-21,0.0
1,69,0.3219497919114767,0.8515625,0.08,0.3333333333333333,0.014492753623188406,0.02702702702702703,0.46484375,0.5390625,0.0625,0.0,0.0
2,3,0.4521104166666667,0.9921875,0.04,0.3333333333333333,0.3333333333333333,1.0,0.44921875,0.5234375,0.25,0.25,0.0
2,4,0.4347875,0.9921875,0.04,0.25,0.5,0.3333333333333333,0.5078125,0.4765625,0.5,0.2,0.0
2,5,0.44919479166666676,0.9921875,0.08,0.5,0.3333333333333333,0.3333333333333333,0.50390625,0.47265625,0.25,0.3333333333333333,0.08333333333333333
2,6,0.37831156163911844,0.98046875,0.04,0.16666666666666666,0.3333333333333333,0.25,0.49609375,0.46875,0.3333333333333333,0.024793388429752067,0.0
2,7,0.4110374451754386,0.9921875,0.08,0.5,0.16666666666666666,0.3333333333333333,0.4765625,0.48828125,0.25,0.031578947368421054,0.0
2,8,0.3439392006802722,0.97265625,0.0,0.125,0.16666666666666666,0.16666666666666666,0.5,0.49609375,0.25,0.015306122448979591,0.0
2,9,0.3687155303030303,0.984375,0.04,0.25,0.25,0.2,0.546875,0.5,0.1,0.005050505050505051,0.0
2,10,0.40609043122886135,0.984375,0.08,0.3333333333333333,0.125,0.3333333333333333,0.4921875,0.484375,0.5,0.0033821871476888386,0.0
2,11,0.40402171360459604,0.96875,0.08,0.5,0.1111111111111111,0.14285714285714285,0.49609375,0.49609375,0.3333333333333333,0.0029850746268656717,0.08333333333333333
2,12,0.34661793155971937,0.9765625,0.04,0.25,0.1,0.14285714285714285,0.546875,0.45703125,0.09090909090909091,0.001073345259391771,0.0
2,13,0.36778076501715656,0.9765625,0.08,0.16666666666666666,0.09090909090909091,0.2,0.53125,0.4609375,0.3333333333333333,0.00027285129604365623,0.08333333333333333
2,14,0.3424762477106228,0.95703125,0.0,0.25,0.08333333333333333,0.1,0.4921875,0.5703125,0.14285714285714285,0.0003605769230769231,0.0
2,15,0.37532653881187017,0.9765625,0.08,0.25,0.07692307692307693,0.2,0.51953125,0.51171875,0.3333333333333333,0.0001525165226232842,0.0
2,16,0.35689027756930775,0.96484375,0.04,0.25,0.07142857142857142,0.125,0.4453125,0.54296875,0.3333333333333333,5.125313925477936e-05,0.0
2,17,0.34288114874422554,0.96484375,0.04,0.25,0.06666666666666667,0.1,0.51953125,0.4765625,0.09090909090909091,5.355230274901821e-05,0.08333333333333333
2,18,0.4298755188575909,0.96484375,0.2,0.5,0.0625,0.125,0.51171875,0.54296875,0.5,8.647626514775911e-06,0.0
