expression,stability,predictive,uniqueness,score
"add(state,carry_count)",0.6370088301257381,0.9903224978576314,0.8260869565217391,0.8066960161778954
"add(state,popcount)",0.6384202578668416,0.9960729045605723,0.7971014492753623,0.8052834952556119
"add(bit_length,popcount)",0.6376636393355609,0.9965522938273562,0.7971014492753623,0.8051347726232493
"sub(bit_length,v_29)",0.6361729828717355,0.9998453231856884,0.782608695652174,0.8036072759143824
"sub(bit_length,v_53)",0.6361729828717355,0.9998444343424262,0.782608695652174,0.8036069203770775
"sub(bit_length,v_19)",0.6359915082407114,0.9998118321241166,0.782608695652174,0.8035122159057929
"add(bit_length,carry_count)",0.6362346309412233,0.9907038480384767,0.7971014492753623,0.8021523405302454
"ratio(state,v_47)",0.6172966575300425,0.934634064562013,1.0,0.8016371217133244
"add(bit_length,v_53)",0.6361538503881299,0.999853201935611,0.7681159420289855,0.8014279047532508
"add(bit_length,v_29)",0.6361538503881299,0.9998523146372907,0.7681159420289855,0.8014275498339226
"sub(bit_length,v_5)",0.6361372305852848,0.9996805458072632,0.7681159420289855,0.8013513633906314
"add(bit_length,v_13)",0.636697521293169,0.999817699695923,0.7536231884057971,0.7994844427211649
"add(bit_length,v_19)",0.6363124046243357,0.9997894263394715,0.7536231884057971,0.7992998308776094
abs(bit_length),0.6361714570346501,0.9998835901710662,0.7536231884057971,0.7992740699948886
"add(bit_length,v_41)",0.6361714570346501,0.9998835901710662,0.7536231884057971,0.7992740699948886
"sub(bit_length,v_41)",0.6361714570346501,0.9998835901710662,0.7536231884057971,0.7992740699948886
id(bit_length),0.6361714570346501,0.9998835901710662,0.7536231884057971,0.7992740699948886
"ratio(bit_length,v_41)",0.6361714570346501,0.9998835901710658,0.7536231884057971,0.7992740699948884
"add(bit_length,v_7)",0.6362724134089561,0.9997222394912314,0.7536231884057971,0.7992549600913924
"add(bit_length,v_43)",0.6360788751336398,0.9998648093420296,0.7536231884057971,0.7992248958078194
"sub(bit_length,v_7)",0.6359894357624957,0.9996989960406112,0.7536231884057971,0.7991183227702372
"sub(bit_length,v_47)",0.6357630121685391,0.9998157991426475,0.7536231884057971,0.7990631533937713
"sub(bit_length,v_13)",0.6356130572043731,0.9998135709920625,0.7536231884057971,0.7989947823996625
"sub(bit_length,v_37)",0.6354368059975596,0.9998338530354649,0.7536231884057971,0.7989235821739574
sqrt(entropy),0.7888991167769211,0.9410939090456614,0.4492753623188406,0.7988334705157052
"ratio(state,v_29)",0.6198547942615658,0.9235635210530166,1.0,0.7983600658389113
"ratio(state,v_53)",0.6198019694867057,0.923580695284405,1.0,0.7983431643827796
"add(bit_length,v_3)",0.64016293077414,0.9982667273516758,0.7391304347826086,0.7982495750064247
"add(bit_length,v_37)",0.636882729611585,0.999832999183931,0.7391304347826086,0.7973999932161769
"add(bit_length,v_47)",0.6365554181049693,0.9998477530555253,0.7391304347826086,0.7972586045868376
"add(bit_length,v_11)",0.6363384860116144,0.9998763051371455,0.7391304347826086,0.7971724059774761
"add(bit_length,v_31)",0.636330103610044,0.9998767634337458,0.7391304347826086,0.7971688172154094
"sub(bit_length,v_43)",0.6362560263935991,0.9998673360691555,0.7391304347826086,0.7971317115221731
"sub(bit_length,v_23)",0.6361721386736333,0.999880961829861,0.7391304347826086,0.7970994123524707
"add(bit_length,v_23)",0.6361625656242029,0.9998507488270898,0.7391304347826086,0.7970830192791186
"sub(bit_length,v_31)",0.636004520650645,0.9998548348384201,0.7391304347826086,0.7970135334455496
"sub(bit_length,v_11)",0.6359961452519597,0.9998553158603675,0.7391304347826086,0.7970099569249202
"add(bit_length,v_5)",0.6361164611644269,0.9997007428831459,0.7391304347826086,0.7970022698946418
"sub(state,v_2)",0.6332170156213975,0.996109588565417,0.7536231884057971,0.7964349707166652
"add(state,v_2)",0.6401552226088438,0.9974564879257762,0.7246376811594203,0.7957480975182034
"add(bit_length,v_17)",0.6366734364772926,0.9998547096929085,0.7246376811594203,0.7951405824658582
"sub(bit_length,v_17)",0.6356536153243958,0.9998440813551541,0.7246376811594203,0.7946774116119528
"sub(state,v_3)",0.632511291913936,0.9977920891498776,0.7391304347826086,0.7946164822386136
"add(state,carry_chain)",0.6547439756234614,0.9889022050717651,0.6956521739130435,0.7945434971462202
"add(state,borrow_count)",0.6370215955058688,0.9761680931949183,0.782608695652174,0.7945182596034344
"add(bit_length,carry_chain)",0.6535560679299324,0.9886503351967216,0.6956521739130435,0.7939081907341147
"add(bit_length,v_2)",0.6388410324556213,0.9973065778757975,0.7101449275362319,0.7929228348857834
"add(entropy,carry_count)",0.6261583589676838,0.9275551312538997,0.927536231884058,0.7919237488196263
"ratio(state,v_13)",0.6127845554511232,0.9153085331041536,1.0,0.791876463194667
"add(state,v_3)",0.641190015840408,0.9971310441320591,0.6956521739130435,0.7917357508679638
"ratio(bit_length,v_11)",0.6289814730348824,0.9880005511712654,0.7536231884057971,0.7912853615950728
"ratio(bit_length,v_17)",0.6261923422446091,0.9908572328567635,0.7536231884057971,0.791172925413649
"ratio(bit_length,v_31)",0.6288179880355239,0.98706071747176,0.7536231884057971,0.7908358598655594
"sub(entropy,carry_count)",0.6235148546276906,0.9245218044345407,0.927536231884058,0.7895208411388858
"add(state,borrow_chain)",0.6539546137513088,0.9873447747456267,0.6666666666666666,0.7892174860863396
"mul(state,entropy)",0.5530882170922604,0.9743778810790042,1.0,0.7886408501231189
log1p(popcount),0.7842924118354367,0.9186042154391959,0.4492753623188406,0.7877645758494509
