,state,bit_length,popcount,entropy,carry_count,carry_chain,borrow_count,borrow_chain,v_2,v_3,v_5,v_7,v_11,v_13,v_17,v_19,v_23,v_29,v_31,v_37,v_41,v_43,v_47,v_53,v_59,v_61,v_67,v_71,v_73,v_79,v_83,v_89,v_97,mod_2,mod_3,mod_5,mod_7,mod_11,mod_13,mod_17,mod_19,mod_23,mod_29,mod_31,mod_37,mod_41,mod_43,mod_47,mod_53,mod_59,mod_61,mod_67,mod_71,mod_73,mod_79,mod_83,mod_89,mod_97,target_log2
v_5,0.09481863599141138,0.07982778197010876,0.015176875923221145,0.0006922089377479068,0.0,0.06322082894142089,0.0,0.0,0.12174195697926926,0.017624526257803197,0.5045844990485957,0.08144501680274852,0.07995392474946073,0.07301682486129346,0.07036062911798835,0.06332567284729373,0.07017638226191858,0.10295179309693703,0.08888256971872766,0.09347284314206439,0.08012676240808725,0.06259389387482539,0.12357987428798678,0.11841788561523447,0.08012676240808725,0.11013633944669143,0.08012676240808725,0.08012676240808725,0.04814393969591091,0.08012676240808725,0.08012676240808725,0.08012676240808725,0.08012676240808725,0.13152434500350774,0.06691731800061085,0.38370385322566625,0.0,0.028979744849080724,0.0,0.0,0.03379281464395878,0.07536916406274141,0.045749001734120665,0.0,0.0,0.03977073282768484,0.0012965293040627657,0.0,0.0,0.07004737812336148,0.08960348186717026,0.0759047810277429,0.0,0.0,0.00276731330017177,0.0,0.04513276431685931,0.0,0.06729568254542628
v_7,0.0,0.0,0.0,0.0,0.0014650260751483124,0.0,0.0,0.020772085651210137,0.0,0.020482594566544332,0.012899345846704158,0.4331530685087217,0.029189641863196947,0.01480698622995602,0.03446640320467287,0.07160103650364391,0.040247647951223264,0.0408404550180701,0.02931491495851679,0.04444560997585967,0.03544565506416175,0.010629348154934881,0.018515546538329097,0.03154733446704627,0.03544565506416175,0.021465139751393192,0.03544565506416175,0.03544565506416175,0.025485005755450096,0.03544565506416175,0.03544565506416175,0.03544565506416175,0.03544565506416175,0.0,0.057732344818079984,0.0004703713226466011,0.34676890994071097,0.0,0.0,0.0538934165708731,0.0,0.0,0.036099593677734854,0.004348130998493183,0.01308320283203912,0.0,0.009826177868153874,0.004885959229695702,0.0,0.0,0.003084405057478312,0.0,0.05138374061795603,0.04821218371922642,0.0,0.0,0.0,0.0,0.007825792650698604
v_11,0.004830917874398599,0.0,0.0,0.0,0.003160905073347098,0.0,0.0,0.006094557364004771,0.0,0.0476113301234391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1233634228264413,0.0,0.040784065931941615,0.0,0.0,0.018486415309709514,0.0,0.0,0.007038103021709929,0.0,0.0,0.0,0.024140922305812107,0.0,0.009661835748794645,2.55351295663786e-15,0.004830917874398599,0.004355599162887636,0.0050472276299673435,0.018387235639477417,0.0,0.0
v_13,0.0,0.0,0.0,0.0,0.0007667126224388809,0.0012009333787112997,0.02119507807361254,0.0327619881560508,0.0,0.022020023157855118,0.0,0.0,0.03862149614198307,0.27284718600856506,0.05193168476400967,0.04756280708541949,0.06924800047950308,0.07484744385721864,0.05339548322739063,0.068329342969077,0.0491372531118035,0.03353125626913522,0.021992017162919986,0.04785211714541182,0.0491372531118035,0.05154400814281335,0.0491372531118035,0.0491372531118035,0.056503281327578314,0.0491372531118035,0.0491372531118035,0.0491372531118035,0.0491372531118035,0.0,0.0,0.02029718851662876,0.009657487297555445,0.11528333388986756,0.20987297217097,0.0,0.007408475802306302,0.0,0.0,0.0,0.0,0.0,0.019761023193614058,0.004609739198777163,0.03967405169244698,0.01666183595657844,0.0,0.0158224055189935,0.012052604408850698,0.0,0.0,0.0,0.024233100872960822,0.0,0.0
v_17,0.0,0.0,0.002912725890667378,0.0011180129546493056,0.004522171342332459,0.0,0.007641212084843252,0.0,0.0,0.0,0.0,0.0,0.03440778369884745,0.0,0.10786732473996308,0.0,0.05729913850983159,0.0,0.06429044820049956,0.0723095492189505,0.051362327656110374,0.0406512313175309,0.0,0.0,0.051362327656110374,0.053797909034954294,0.051362327656110374,0.051362327656110374,0.05072995192072138,0.051362327656110374,0.051362327656110374,0.051362327656110374,0.051362327656110374,0.0,0.0,0.0,0.0,0.0,0.04188845472094971,0.009566164431428659,0.06606577653089407,0.0,0.0,0.0,0.00018726293566051488,0.09070141650164465,0.0,0.013204159536273297,0.0002157561040498912,0.007658790955170858,0.0,0.004617789144643947,0.005060341761109033,0.004617789144643947,0.013587144260972073,0.0,0.0010167770933040554,0.0,0.0
v_19,0.0,0.0,0.0,0.0,0.0,0.0654504031285974,0.0,0.0,0.06901441978372791,0.0,0.0,0.0,0.012513371112671035,0.02070014294923883,0.01353529583157842,0.2569955581376435,0.0,0.027001413287553788,0.019512919910194437,0.0,0.0,0.004238755943133388,0.041048260935966585,0.0,0.0,0.0,0.0,0.0,0.008487432416361962,0.0,0.0,0.0,0.0,0.2321645644270216,0.12868777947082766,0.09762469344555091,0.0,0.11146127782446147,0.020264816543768216,0.00629378782018053,0.27612605587934413,0.010924695807519313,0.06475199497207451,0.0,0.10868428361618276,0.0,0.007480774534504242,0.0,0.0,0.09906214717140571,0.0,0.0,0.0,0.0,0.030248434685575587,0.0,0.0,0.0,0.0
v_23,2.55351295663786e-15,2.55351295663786e-15,0.0,0.0,0.0189098625387486,0.0011907743955406058,0.0,0.04871691370840514,0.0,0.0,0.07964411286698914,0.07887800850275939,0.028259907320461686,0.025293503422199937,0.04931068525557114,0.03870899850942555,0.06973761732976236,0.08082147883479873,0.018877616784485518,0.05321577295309865,0.04862492933203466,0.04645697010854111,0.021132416807194243,0.05947931441005494,0.04862492933203466,0.020567352374854853,0.04862492933203466,0.04862492933203466,0.05772449763604559,0.04862492933203466,0.04862492933203466,0.04862492933203466,0.04862492933203466,0.009283230090547434,0.0,0.0,0.004105613488270654,0.03819931136285293,0.0,0.0,0.07964235428635003,0.0,0.0,0.0,0.006071295337835458,0.0,0.0,0.0,0.0007374035482675678,0.0,0.0,0.004830917874398599,0.0,2.55351295663786e-15,0.026295086120058597,0.004830917874398599,0.0,0.004830917874398599,0.0
v_29,0.004617789144643947,0.0,0.0011180129546495277,0.009448707019040326,0.0,0.0,0.0,0.0,0.0,0.0,0.031556063128326706,0.008074955942881878,0.039692210852953824,0.0,0.034266543299655616,0.0,0.01870151871332304,0.04953967472115561,0.006415858298958188,0.026131325433098596,0.018396131435586494,0.030285364223580302,0.0378291394401602,0.04251535082147928,0.018396131435586494,0.020218570428953697,0.018396131435586494,0.018396131435586494,0.013979920882202013,0.018396131435586494,0.018396131435586494,0.018396131435586494,0.018396131435586494,0.0,0.0,0.0,0.06493142388507622,0.0,0.026602849874685974,0.0,0.0,0.0,0.017596759391673933,0.0,0.03958240283983794,0.025388053002440847,0.0008022447743678551,0.0,0.008505792208671092,0.016559108204098782,0.0,0.0,0.0,0.0,0.0,0.0,0.00340083123341528,0.0,0.0
v_31,2.55351295663786e-15,0.004830917874398599,0.0010947593037168302,0.0,0.005429501636953549,0.01629704083993433,0.018813509105542137,0.029949138930766894,0.038070952310866435,0.03708458510915413,0.0,0.005438128074588988,0.02680665923994363,0.03268788664227662,0.04194457910439331,0.0,0.05836940584989492,0.05627093087883761,0.044693829870233515,0.0264836977261802,0.03214754168868961,0.021044192407683848,0.06301850607839654,0.032858545404385264,0.03214754168868961,0.028586077675338828,0.03214754168868961,0.03214754168868961,0.03433740381312189,0.03214754168868961,0.03214754168868961,0.03214754168868961,0.03214754168868961,0.05761905048461724,0.09070243901209918,0.032084955672147863,0.048490679738647735,0.017559815823928737,0.0132067464209642,0.0,0.0,0.0,0.0029688065628989957,0.0,0.0,0.0,0.0018100340623526945,0.003900483512123132,0.004762198331347167,0.0,0.0,2.55351295663786e-15,0.0,0.004830917874398599,0.0,0.0,0.0,0.004830917874398599,0.004830917874398599
v_37,0.0,0.0,0.0,0.0,0.0,0.07666350685446188,0.02205956064245984,0.0,0.09507557677378475,0.028746507991642467,0.013626106527232729,0.0,0.0,0.008069615295767996,0.0,0.007933149710138476,0.0,0.0,0.0,0.036175847555551144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04652990853181205,0.028161739927325957,0.0,0.02473815563785875,0.0,0.04180755533576885,0.02653781185127424,0.054291821718897015,0.0,0.0,0.0035756220883027545,0.0761322744543842,0.016446079330599828,0.0,0.029503008518094287,0.012237215794059564,0.007436453238941265,0.009465199414429915,0.0,0.0,0.0,0.0,0.0,0.011731750049840617,0.0,0.0
