Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p140_041_SE_pivot198.95_minus8_fl.bat    P140 2^82  2^41   17179869184  8349c781fc2cde400000000000000000000:8349c781fc2cde7ffffffffffffffffffff
p140_042_SE_pivot198.95_minus8_ce.bat    P140 2^136 2^68   2305843009213693952  90000000000000000000000000000000000:9ffffffffffffffffffffffffffffffffff
p140_043_SE_pivot198.95_minus8_ce.bat    P140 2^84  2^42   34359738368  92095afcfa3abb000000000000000000000:92095afcfa3abbfffffffffffffffffffff
p140_044_SE_pivot198.95_minus8_ce.bat    P140 2^83  2^42   34359738368  8e31830da8509c800000000000000000000:8e31830da8509cfffffffffffffffffffff
p140_045_SE_pivot198.95_minus8_ce.bat    P140 2^83  2^42   34359738368  86938f03f859bc800000000000000000000:86938f03f859bcfffffffffffffffffffff
p140_046_SE_pivot198.95_to_n_bits.bat    P140 2^87  2^44   137438953472  e938f03f859bc8000000000000000000000:e938f03f859bcffffffffffffffffffffff
p140_047_SE_pivot199.0_raw.bat           P140 2^88  2^44   137438953472  c6804def9f3b10000000000000000000000:c6804def9f3b1ffffffffffffffffffffff
p140_048_SE_pivot199.0_raw+form56.bat    P140 2^90  2^45   274877906944  dfc468ada588c0000000000000000000000:dfc468ada588fffffffffffffffffffffff
p140_049_SE_pivot199.0_raw+form56.bat    P140 2^87  2^44   137438953472  b016870447afd8000000000000000000000:b016870447afdffffffffffffffffffffff
p140_050_SE_pivot199.0_raw+form56.bat    P140 2^87  2^44   137438953472  a32d8ca3bdeea8000000000000000000000:a32d8ca3bdeeaffffffffffffffffffffff
p140_051_SE_pivot199.0_minus8.bat        P140 2^84  2^42   34359738368  8c6804def9f3b1000000000000000000000:8c6804def9f3b1fffffffffffffffffffff
p140_052_SE_pivot199.0_minus8+for.bat    P140 2^86  2^43   68719476736  8dfc468ada588c000000000000000000000:8dfc468ada588ffffffffffffffffffffff
p140_053_SE_pivot199.0_minus8+for.bat    P140 2^83  2^42   34359738368  8b016870447afd800000000000000000000:8b016870447afdfffffffffffffffffffff
p140_054_SE_pivot199.0_minus8+for.bat    P140 2^82  2^41   17179869184  85196c651def75400000000000000000000:85196c651def757ffffffffffffffffffff
p140_055_SE_pivot198.0_minus8.bat        P140 2^82  2^41   17179869184  831a0137be7cec400000000000000000000:831a0137be7cec7ffffffffffffffffffff
p140_056_SE_pivot198.0_minus8+for.bat    P140 2^84  2^42   34359738368  837f11a2b69623000000000000000000000:837f11a2b69623fffffffffffffffffffff
p140_057_SE_pivot198.0_minus8+for.bat    P140 2^81  2^41   17179869184  82c05a1c111ebf600000000000000000000:82c05a1c111ebf7ffffffffffffffffffff
p140_058_SE_pivot198.0_minus8+for.bat    P140 2^80  2^40   8589934592  81465b19477bdd500000000000000000000:81465b19477bdd5ffffffffffffffffffff
p140_059_SE_pivot198.0_minus8_flo.bat    P140 2^133 2^67   1152921504606846976  82000000000000000000000000000000000:83fffffffffffffffffffffffffffffffff
p140_060_SE_pivot198.0_minus8_flo.bat    P140 2^81  2^41   17179869184  82412b5f9f4757600000000000000000000:82412b5f9f47577ffffffffffffffffffff
p140_061_SE_pivot198.0_minus8_flo.bat    P140 2^80  2^40   8589934592  81c63061b50a13900000000000000000000:81c63061b50a139ffffffffffffffffffff
p140_062_SE_pivot198.0_minus8_flo.bat    P140 2^80  2^40   8589934592  80d271e07f0b37900000000000000000000:80d271e07f0b379ffffffffffffffffffff
p140_063_SE_pivot198.0_minus8_cei.bat    P140 2^134 2^67   1152921504606846976  84000000000000000000000000000000000:87fffffffffffffffffffffffffffffffff
p140_064_SE_pivot198.0_minus8_cei.bat    P140 2^82  2^41   17179869184  848256bf3e8eaec00000000000000000000:848256bf3e8eaefffffffffffffffffffff
p140_065_SE_pivot198.0_minus8_cei.bat    P140 2^81  2^41   17179869184  838c60c36a1427200000000000000000000:838c60c36a14273ffffffffffffffffffff
p140_066_SE_pivot198.0_minus8_cei.bat    P140 2^81  2^41   17179869184  81a4e3c0fe166f200000000000000000000:81a4e3c0fe166f3ffffffffffffffffffff
p145_067_SE_pivot198.95_raw.bat          P145 2^92  2^46   549755813888  14829361c760ed00000000000000000000000:14829361c760edfffffffffffffffffffffff
p145_068_SE_pivot198.95_raw+form5.bat    P145 2^91  2^46   549755813888  151588e6b36d4380000000000000000000000:151588e6b36d43fffffffffffffffffffffff
p145_069_SE_pivot198.95_raw+form5.bat    P145 2^91  2^46   549755813888  140035c9da217c80000000000000000000000:140035c9da217cfffffffffffffffffffffff
p145_070_SE_pivot198.95_raw+form5.bat    P145 2^88  2^44   137438953472  11da8f3ee0d2e390000000000000000000000:11da8f3ee0d2e39ffffffffffffffffffffff
p145_071_SE_pivot198.95_raw_floor.bat    P145 2^142 2^71   18446744073709551616  1400000000000000000000000000000000000:17fffffffffffffffffffffffffffffffffff
p145_072_SE_pivot198.95_raw_floor.bat    P145 2^90  2^45   274877906944  148256bf3e8eaec0000000000000000000000:148256bf3e8eaefffffffffffffffffffffff
p145_073_SE_pivot198.95_raw_floor.bat    P145 2^89  2^45   274877906944  138c60c36a142720000000000000000000000:138c60c36a14273ffffffffffffffffffffff
p145_074_SE_pivot198.95_raw_floor.bat    P145 2^89  2^45   274877906944  11a4e3c0fe166f20000000000000000000000:11a4e3c0fe166f3ffffffffffffffffffffff
p145_075_SE_pivot198.95_raw_ceil.bat     P145 2^143 2^72   36893488147419103232  1800000000000000000000000000000000000:1ffffffffffffffffffffffffffffffffffff
p145_076_SE_pivot198.95_raw_ceil+.bat    P145 2^91  2^46   549755813888  1904ad7e7d1d5d80000000000000000000000:1904ad7e7d1d5dfffffffffffffffffffffff
p145_077_SE_pivot198.95_raw_ceil+.bat    P145 2^90  2^45   274877906944  1718c186d4284e40000000000000000000000:1718c186d4284e7ffffffffffffffffffffff
p145_078_SE_pivot198.95_raw_ceil+.bat    P145 2^90  2^45   274877906944  1349c781fc2cde40000000000000000000000:1349c781fc2cde7ffffffffffffffffffffff
p145_079_SE_pivot198.95_minus8.bat       P145 2^84  2^42   34359738368  1004829361c760ed000000000000000000000:1004829361c760edfffffffffffffffffffff
p145_080_SE_pivot198.95_minus8+fo.bat    P145 2^83  2^42   34359738368  10051588e6b36d43800000000000000000000:10051588e6b36d43fffffffffffffffffffff
p145_081_SE_pivot198.95_minus8+fo.bat    P145 2^83  2^42   34359738368  10040035c9da217c800000000000000000000:10040035c9da217cfffffffffffffffffffff
p145_082_SE_pivot198.95_minus8+fo.bat    P145 2^80  2^40   8589934592  1001da8f3ee0d2e3900000000000000000000:1001da8f3ee0d2e39ffffffffffffffffffff
p145_083_SE_pivot198.95_minus8_fl.bat    P145 2^134 2^67   1152921504606846976  1004000000000000000000000000000000000:1007fffffffffffffffffffffffffffffffff
p145_084_SE_pivot198.95_minus8_fl.bat    P145 2^82  2^41   17179869184  10048256bf3e8eaec00000000000000000000:10048256bf3e8eaefffffffffffffffffffff
p145_085_SE_pivot198.95_minus8_fl.bat    P145 2^81  2^41   17179869184  10038c60c36a1427200000000000000000000:10038c60c36a14273ffffffffffffffffffff
p145_086_SE_pivot198.95_minus8_fl.bat    P145 2^81  2^41   17179869184  1001a4e3c0fe166f200000000000000000000:1001a4e3c0fe166f3ffffffffffffffffffff
p145_087_SE_pivot198.95_minus8_ce.bat    P145 2^135 2^68   2305843009213693952  1008000000000000000000000000000000000:100ffffffffffffffffffffffffffffffffff
p145_088_SE_pivot198.95_minus8_ce.bat    P145 2^83  2^42   34359738368  100904ad7e7d1d5d800000000000000000000:100904ad7e7d1d5dfffffffffffffffffffff
p145_089_SE_pivot198.95_minus8_ce.bat    P145 2^82  2^41   17179869184  100718c186d4284e400000000000000000000:100718c186d4284e7ffffffffffffffffffff
p145_090_SE_pivot198.95_minus8_ce.bat    P145 2^82  2^41   17179869184  100349c781fc2cde400000000000000000000:100349c781fc2cde7ffffffffffffffffffff
p145_091_SE_pivot198.95_minus_n_g.bat    P145 2^32  2^16          512  1000000000000000000000000000100000000:10000000000000000000000000001ffffffff
p145_092_SE_pivot198.95_to_n_bits.bat    P145 2^144 2^72   36893488147419103232  1000000000000000000000000000000000000:1ffffffffffffffffffffffffffffffffffff
