Single-span KeyHunt BSGS — one MITM per zero anchor
avg_digit_span_decimal=19342813113834066795298816 = 2^84
jobs=319

file                                        P   tz      m     k_hint range
p150_164_SE_pivot199.0_raw_ceil+f.bat    P150 2^91  2^46   549755813888  20e31830da8509c80000000000000000000000:20e31830da8509cfffffffffffffffffffffff
p150_165_SE_pivot199.0_raw_ceil+f.bat    P150 2^91  2^46   549755813888  206938f03f859bc80000000000000000000000:206938f03f859bcfffffffffffffffffffffff
p150_166_SE_pivot199.0_minus8.bat        P150 2^83  2^42   34359738368  2000805c7dec204cd800000000000000000000:2000805c7dec204cdfffffffffffffffffffff
p150_167_SE_pivot199.0_minus8+for.bat    P150 2^83  2^42   34359738368  200090b31ba645b47800000000000000000000:200090b31ba645b47fffffffffffffffffffff
p150_168_SE_pivot199.0_minus8+for.bat    P150 2^85  2^43   68719476736  200071de24d317dba000000000000000000000:200071de24d317dbbfffffffffffffffffffff
p150_169_SE_pivot199.0_minus8+for.bat    P150 2^81  2^41   17179869184  200034c27c57f4b51a00000000000000000000:200034c27c57f4b51bffffffffffffffffffff
p150_170_SE_pivot199.0_minus8_cei.bat    P150 2^136 2^68   2305843009213693952  20010000000000000000000000000000000000:2001ffffffffffffffffffffffffffffffffff
p150_171_SE_pivot199.0_minus8_cei.bat    P150 2^84  2^42   34359738368  20012095afcfa3abb000000000000000000000:20012095afcfa3abbfffffffffffffffffffff
p150_172_SE_pivot199.0_minus8_cei.bat    P150 2^83  2^42   34359738368  2000e31830da8509c800000000000000000000:2000e31830da8509cfffffffffffffffffffff
p150_173_SE_pivot199.0_minus8_cei.bat    P150 2^83  2^42   34359738368  20006938f03f859bc800000000000000000000:20006938f03f859bcfffffffffffffffffffff
p150_174_SE_pivot199.0_minus_n_ga.bat    P150 2^38  2^19         4096  20000000000000000000000000004000000000:20000000000000000000000000007fffffffff
p150_175_SE_pivot198.0_raw.bat           P150 2^89  2^45   274877906944  2020171f7b0813360000000000000000000000:2020171f7b081337ffffffffffffffffffffff
p150_176_SE_pivot198.0_raw+form56.bat    P150 2^89  2^45   274877906944  20242cc6e9916d1e0000000000000000000000:20242cc6e9916d1fffffffffffffffffffffff
p150_177_SE_pivot198.0_raw+form56.bat    P150 2^91  2^46   549755813888  201c778934c5f6e80000000000000000000000:201c778934c5f6efffffffffffffffffffffff
p150_178_SE_pivot198.0_raw+form56.bat    P150 2^87  2^44   137438953472  200d309f15fd2d468000000000000000000000:200d309f15fd2d46ffffffffffffffffffffff
p150_179_SE_pivot198.0_raw_floor.bat     P150 2^141 2^71   18446744073709551616  20200000000000000000000000000000000000:203fffffffffffffffffffffffffffffffffff
p150_180_SE_pivot198.0_raw_floor+.bat    P150 2^89  2^45   274877906944  202412b5f9f475760000000000000000000000:202412b5f9f47577ffffffffffffffffffffff
p150_181_SE_pivot198.0_raw_floor+.bat    P150 2^88  2^44   137438953472  201c63061b50a1390000000000000000000000:201c63061b50a139ffffffffffffffffffffff
p150_182_SE_pivot198.0_raw_floor+.bat    P150 2^88  2^44   137438953472  200d271e07f0b3790000000000000000000000:200d271e07f0b379ffffffffffffffffffffff
p150_183_SE_pivot198.0_minus8.bat        P150 2^81  2^41   17179869184  200020171f7b08133600000000000000000000:200020171f7b081337ffffffffffffffffffff
p150_184_SE_pivot198.0_minus8+for.bat    P150 2^81  2^41   17179869184  2000242cc6e9916d1e00000000000000000000:2000242cc6e9916d1fffffffffffffffffffff
p150_185_SE_pivot198.0_minus8+for.bat    P150 2^83  2^42   34359738368  20001c778934c5f6e800000000000000000000:20001c778934c5f6efffffffffffffffffffff
p150_186_SE_pivot198.0_minus8+for.bat    P150 2^79  2^40   8589934592  20000d309f15fd2d4680000000000000000000:20000d309f15fd2d46ffffffffffffffffffff
p150_187_SE_pivot198.0_minus8_flo.bat    P150 2^133 2^67   1152921504606846976  20002000000000000000000000000000000000:20003fffffffffffffffffffffffffffffffff
p150_188_SE_pivot198.0_minus8_flo.bat    P150 2^81  2^41   17179869184  20002412b5f9f4757600000000000000000000:20002412b5f9f47577ffffffffffffffffffff
p150_189_SE_pivot198.0_minus8_flo.bat    P150 2^80  2^40   8589934592  20001c63061b50a13900000000000000000000:20001c63061b50a139ffffffffffffffffffff
p150_190_SE_pivot198.0_minus8_flo.bat    P150 2^80  2^40   8589934592  20000d271e07f0b37900000000000000000000:20000d271e07f0b379ffffffffffffffffffff
p150_191_SE_pivot198.0_minus_n_ga.bat    P150 2^35  2^18         2048  20000000000000000000000000000800000000:20000000000000000000000000000fffffffff
p155_192_SE_pivot198.95_raw.bat          P155 2^90  2^45   274877906944  400539ae3fb770a9c0000000000000000000000:400539ae3fb770a9fffffffffffffffffffffff
p155_193_SE_pivot198.95_raw+form5.bat    P155 2^91  2^46   549755813888  4005e3f230c48d3280000000000000000000000:4005e3f230c48d32fffffffffffffffffffffff
p155_194_SE_pivot198.95_raw+form5.bat    P155 2^90  2^45   274877906944  4004a2a3ea1c239840000000000000000000000:4004a2a3ea1c23987ffffffffffffffffffffff
p155_195_SE_pivot198.95_raw+form5.bat    P155 2^91  2^46   549755813888  400225d1fd9f751980000000000000000000000:400225d1fd9f7519fffffffffffffffffffffff
p155_196_SE_pivot198.95_raw_floor.bat    P155 2^142 2^71   18446744073709551616  400400000000000000000000000000000000000:4007fffffffffffffffffffffffffffffffffff
p155_197_SE_pivot198.95_raw_floor.bat    P155 2^90  2^45   274877906944  40048256bf3e8eaec0000000000000000000000:40048256bf3e8eaefffffffffffffffffffffff
p155_198_SE_pivot198.95_raw_floor.bat    P155 2^89  2^45   274877906944  40038c60c36a142720000000000000000000000:40038c60c36a14273ffffffffffffffffffffff
p155_199_SE_pivot198.95_raw_floor.bat    P155 2^89  2^45   274877906944  4001a4e3c0fe166f20000000000000000000000:4001a4e3c0fe166f3ffffffffffffffffffffff
p155_200_SE_pivot198.95_raw_ceil.bat     P155 2^143 2^72   36893488147419103232  400800000000000000000000000000000000000:400ffffffffffffffffffffffffffffffffffff
p155_201_SE_pivot198.95_raw_ceil+.bat    P155 2^91  2^46   549755813888  400904ad7e7d1d5d80000000000000000000000:400904ad7e7d1d5dfffffffffffffffffffffff
p155_202_SE_pivot198.95_raw_ceil+.bat    P155 2^90  2^45   274877906944  400718c186d4284e40000000000000000000000:400718c186d4284e7ffffffffffffffffffffff
p155_203_SE_pivot198.95_raw_ceil+.bat    P155 2^90  2^45   274877906944  400349c781fc2cde40000000000000000000000:400349c781fc2cde7ffffffffffffffffffffff
p155_204_SE_pivot198.95_minus8.bat       P155 2^82  2^41   17179869184  40000539ae3fb770a9c00000000000000000000:40000539ae3fb770a9fffffffffffffffffffff
p155_205_SE_pivot198.95_minus8+fo.bat    P155 2^83  2^42   34359738368  400005e3f230c48d32800000000000000000000:400005e3f230c48d32fffffffffffffffffffff
p155_206_SE_pivot198.95_minus8+fo.bat    P155 2^82  2^41   17179869184  400004a2a3ea1c2398400000000000000000000:400004a2a3ea1c23987ffffffffffffffffffff
p155_207_SE_pivot198.95_minus8+fo.bat    P155 2^83  2^42   34359738368  40000225d1fd9f7519800000000000000000000:40000225d1fd9f7519fffffffffffffffffffff
p155_208_SE_pivot198.95_minus8_fl.bat    P155 2^134 2^67   1152921504606846976  400004000000000000000000000000000000000:400007fffffffffffffffffffffffffffffffff
p155_209_SE_pivot198.95_minus8_fl.bat    P155 2^82  2^41   17179869184  4000048256bf3e8eaec00000000000000000000:4000048256bf3e8eaefffffffffffffffffffff
p155_210_SE_pivot198.95_minus8_fl.bat    P155 2^81  2^41   17179869184  4000038c60c36a1427200000000000000000000:4000038c60c36a14273ffffffffffffffffffff
p155_211_SE_pivot198.95_minus8_fl.bat    P155 2^81  2^41   17179869184  400001a4e3c0fe166f200000000000000000000:400001a4e3c0fe166f3ffffffffffffffffffff
p155_212_SE_pivot198.95_minus8_ce.bat    P155 2^135 2^68   2305843009213693952  400008000000000000000000000000000000000:40000ffffffffffffffffffffffffffffffffff
p155_213_SE_pivot198.95_minus8_ce.bat    P155 2^83  2^42   34359738368  40000904ad7e7d1d5d800000000000000000000:40000904ad7e7d1d5dfffffffffffffffffffff
p155_214_SE_pivot198.95_minus8_ce.bat    P155 2^82  2^41   17179869184  40000718c186d4284e400000000000000000000:40000718c186d4284e7ffffffffffffffffffff
p155_215_SE_pivot198.95_minus8_ce.bat    P155 2^82  2^41   17179869184  40000349c781fc2cde400000000000000000000:40000349c781fc2cde7ffffffffffffffffffff
p155_216_SE_pivot198.95_minus_n_g.bat    P155 2^41  2^21        16384  400000000000000000000000000020000000000:40000000000000000000000000003ffffffffff
p155_217_SE_pivot198.95_minus_n_g.bat    P155 2^42  2^21        16384  400000000000000000000000000040000000000:40000000000000000000000000007ffffffffff
p155_218_SE_pivot198.95_to_n_bits.bat    P155 2^154 2^77   1180591620717411303424  400000000000000000000000000000000000000:7ffffffffffffffffffffffffffffffffffffff
p155_219_SE_pivot198.95_to_n_bits.bat    P155 2^102 2^51   17592186044416  48256bf3e8eaec0000000000000000000000000:48256bf3e8eaeffffffffffffffffffffffffff
p155_220_SE_pivot198.95_to_n_bits.bat    P155 2^102 2^51   17592186044416  718c186d4284e40000000000000000000000000:718c186d4284e7fffffffffffffffffffffffff
p155_221_SE_pivot198.95_to_n_bits.bat    P155 2^102 2^51   17592186044416  749c781fc2cde40000000000000000000000000:749c781fc2cde7fffffffffffffffffffffffff
p155_222_SE_pivot199.0_raw.bat           P155 2^91  2^46   549755813888  400599b0cd49defc80000000000000000000000:400599b0cd49defcfffffffffffffffffffffff
p155_223_SE_pivot199.0_raw+form56.bat    P155 2^91  2^46   549755813888  4006502d33754dc380000000000000000000000:4006502d33754dc3fffffffffffffffffffffff
p155_224_SE_pivot199.0_raw+form56.bat    P155 2^92  2^46   549755813888  4004f7cf4034afc300000000000000000000000:4004f7cf4034afc3fffffffffffffffffffffff
p155_225_SE_pivot199.0_raw+form56.bat    P155 2^89  2^45   274877906944  40024d486459b3d760000000000000000000000:40024d486459b3d77ffffffffffffffffffffff
p155_226_SE_pivot199.0_minus8.bat        P155 2^83  2^42   34359738368  40000599b0cd49defc800000000000000000000:40000599b0cd49defcfffffffffffffffffffff
p155_227_SE_pivot199.0_minus8+for.bat    P155 2^83  2^42   34359738368  400006502d33754dc3800000000000000000000:400006502d33754dc3fffffffffffffffffffff
p155_228_SE_pivot199.0_minus8+for.bat    P155 2^84  2^42   34359738368  400004f7cf4034afc3000000000000000000000:400004f7cf4034afc3fffffffffffffffffffff
p155_229_SE_pivot199.0_minus8+for.bat    P155 2^81  2^41   17179869184  4000024d486459b3d7600000000000000000000:4000024d486459b3d77ffffffffffffffffffff
p155_230_SE_pivot198.0_raw.bat           P155 2^89  2^45   274877906944  4001666c335277bf20000000000000000000000:4001666c335277bf3ffffffffffffffffffffff
p155_231_SE_pivot198.0_raw+form56.bat    P155 2^89  2^45   274877906944  4001940b4cdd5370e0000000000000000000000:4001940b4cdd5370fffffffffffffffffffffff
p155_232_SE_pivot198.0_raw+form56.bat    P155 2^90  2^45   274877906944  40013df3d00d2bf0c0000000000000000000000:40013df3d00d2bf0fffffffffffffffffffffff
p155_233_SE_pivot198.0_raw+form56.bat    P155 2^87  2^44   137438953472  4000935219166cf5d8000000000000000000000:4000935219166cf5dffffffffffffffffffffff
p155_234_SE_pivot198.0_raw_floor.bat     P155 2^140 2^70   9223372036854775808  400100000000000000000000000000000000000:4001fffffffffffffffffffffffffffffffffff
p155_235_SE_pivot198.0_raw_floor+.bat    P155 2^88  2^44   137438953472  40012095afcfa3abb0000000000000000000000:40012095afcfa3abbffffffffffffffffffffff
p155_236_SE_pivot198.0_raw_floor+.bat    P155 2^87  2^44   137438953472  4000e31830da8509c8000000000000000000000:4000e31830da8509cffffffffffffffffffffff
p155_237_SE_pivot198.0_raw_floor+.bat    P155 2^87  2^44   137438953472  40006938f03f859bc8000000000000000000000:40006938f03f859bcffffffffffffffffffffff
p155_238_SE_pivot198.0_raw_ceil.bat      P155 2^141 2^71   18446744073709551616  400200000000000000000000000000000000000:4003fffffffffffffffffffffffffffffffffff
p155_239_SE_pivot198.0_raw_ceil+f.bat    P155 2^89  2^45   274877906944  4002412b5f9f475760000000000000000000000:4002412b5f9f47577ffffffffffffffffffffff
p155_240_SE_pivot198.0_raw_ceil+f.bat    P155 2^88  2^44   137438953472  4001c63061b50a1390000000000000000000000:4001c63061b50a139ffffffffffffffffffffff
p155_241_SE_pivot198.0_raw_ceil+f.bat    P155 2^88  2^44   137438953472  4000d271e07f0b3790000000000000000000000:4000d271e07f0b379ffffffffffffffffffffff
p155_242_SE_pivot198.0_minus8.bat        P155 2^81  2^41   17179869184  400001666c335277bf200000000000000000000:400001666c335277bf3ffffffffffffffffffff
p155_243_SE_pivot198.0_minus8+for.bat    P155 2^81  2^41   17179869184  400001940b4cdd5370e00000000000000000000:400001940b4cdd5370fffffffffffffffffffff
p155_244_SE_pivot198.0_minus8+for.bat    P155 2^82  2^41   17179869184  4000013df3d00d2bf0c00000000000000000000:4000013df3d00d2bf0fffffffffffffffffffff
p155_245_SE_pivot198.0_minus8+for.bat    P155 2^79  2^40   8589934592  400000935219166cf5d80000000000000000000:400000935219166cf5dffffffffffffffffffff
p155_246_SE_pivot198.0_minus8_flo.bat    P155 2^132 2^66   576460752303423488  400001000000000000000000000000000000000:400001fffffffffffffffffffffffffffffffff
p155_247_SE_pivot198.0_minus8_flo.bat    P155 2^80  2^40   8589934592  4000012095afcfa3abb00000000000000000000:4000012095afcfa3abbffffffffffffffffffff
p155_248_SE_pivot198.0_minus8_flo.bat    P155 2^79  2^40   8589934592  400000e31830da8509c80000000000000000000:400000e31830da8509cffffffffffffffffffff
p155_249_SE_pivot198.0_minus8_flo.bat    P155 2^79  2^40   8589934592  4000006938f03f859bc80000000000000000000:4000006938f03f859bcffffffffffffffffffff
p155_250_SE_pivot198.0_minus8_cei.bat    P155 2^133 2^67   1152921504606846976  400002000000000000000000000000000000000:400003fffffffffffffffffffffffffffffffff
p155_251_SE_pivot198.0_minus8_cei.bat    P155 2^81  2^41   17179869184  400002412b5f9f4757600000000000000000000:400002412b5f9f47577ffffffffffffffffffff
p155_252_SE_pivot198.0_minus8_cei.bat    P155 2^80  2^40   8589934592  400001c63061b50a13900000000000000000000:400001c63061b50a139ffffffffffffffffffff
p155_253_SE_pivot198.0_minus8_cei.bat    P155 2^80  2^40   8589934592  400000d271e07f0b37900000000000000000000:400000d271e07f0b379ffffffffffffffffffff
p155_254_SE_pivot198.0_minus_n_ga.bat    P155 2^39  2^20         8192  400000000000000000000000000008000000000:40000000000000000000000000000ffffffffff
p155_255_SE_pivot198.0_minus_n_ga.bat    P155 2^40  2^20         8192  400000000000000000000000000010000000000:40000000000000000000000000001ffffffffff
p160_256_SE_pivot198.95_raw.bat          P160 2^90  2^45   274877906944  800049f20c3289890c0000000000000000000000:800049f20c3289890fffffffffffffffffffffff
p160_257_SE_pivot198.95_raw+form5.bat    P160 2^91  2^46   549755813888  8000535b8a626479580000000000000000000000:8000535b8a6264795fffffffffffffffffffffff
p160_258_SE_pivot198.95_raw+form5.bat    P160 2^90  2^45   274877906944  800041989d9e7586dc0000000000000000000000:800041989d9e7586dfffffffffffffffffffffff
p160_259_SE_pivot198.95_raw+form5.bat    P160 2^88  2^44   137438953472  80001e64b958aa0f6d0000000000000000000000:80001e64b958aa0f6dffffffffffffffffffffff
p160_260_SE_pivot198.95_raw_floor.bat    P160 2^142 2^71   18446744073709551616  8000400000000000000000000000000000000000:80007fffffffffffffffffffffffffffffffffff
p160_261_SE_pivot198.95_raw_floor.bat    P160 2^90  2^45   274877906944  800048256bf3e8eaec0000000000000000000000:800048256bf3e8eaefffffffffffffffffffffff
p160_262_SE_pivot198.95_raw_floor.bat    P160 2^89  2^45   274877906944  800038c60c36a142720000000000000000000000:800038c60c36a14273ffffffffffffffffffffff
p160_263_SE_pivot198.95_raw_floor.bat    P160 2^89  2^45   274877906944  80001a4e3c0fe166f20000000000000000000000:80001a4e3c0fe166f3ffffffffffffffffffffff
p160_264_SE_pivot198.95_raw_ceil.bat     P160 2^143 2^72   36893488147419103232  8000800000000000000000000000000000000000:8000ffffffffffffffffffffffffffffffffffff
p160_265_SE_pivot198.95_raw_ceil+.bat    P160 2^91  2^46   549755813888  8000904ad7e7d1d5d80000000000000000000000:8000904ad7e7d1d5dfffffffffffffffffffffff
p160_266_SE_pivot198.95_raw_ceil+.bat    P160 2^90  2^45   274877906944  8000718c186d4284e40000000000000000000000:8000718c186d4284e7ffffffffffffffffffffff
p160_267_SE_pivot198.95_raw_ceil+.bat    P160 2^90  2^45   274877906944  8000349c781fc2cde40000000000000000000000:8000349c781fc2cde7ffffffffffffffffffffff
p160_268_SE_pivot198.95_minus8.bat       P160 2^82  2^41   17179869184  80000049f20c3289890c00000000000000000000:80000049f20c3289890fffffffffffffffffffff
p160_269_SE_pivot198.95_minus8+fo.bat    P160 2^83  2^42   34359738368  800000535b8a6264795800000000000000000000:800000535b8a6264795fffffffffffffffffffff
p160_270_SE_pivot198.95_minus8+fo.bat    P160 2^82  2^41   17179869184  80000041989d9e7586dc00000000000000000000:80000041989d9e7586dfffffffffffffffffffff
p160_271_SE_pivot198.95_minus8+fo.bat    P160 2^80  2^40   8589934592  8000001e64b958aa0f6d00000000000000000000:8000001e64b958aa0f6dffffffffffffffffffff
p160_272_SE_pivot198.95_minus8_fl.bat    P160 2^134 2^67   1152921504606846976  8000004000000000000000000000000000000000:8000007fffffffffffffffffffffffffffffffff
p160_273_SE_pivot198.95_minus8_fl.bat    P160 2^82  2^41   17179869184  80000048256bf3e8eaec00000000000000000000:80000048256bf3e8eaefffffffffffffffffffff
p160_274_SE_pivot198.95_minus8_fl.bat    P160 2^81  2^41   17179869184  80000038c60c36a1427200000000000000000000:80000038c60c36a14273ffffffffffffffffffff
p160_275_SE_pivot198.95_minus8_fl.bat    P160 2^81  2^41   17179869184  8000001a4e3c0fe166f200000000000000000000:8000001a4e3c0fe166f3ffffffffffffffffffff
p160_276_SE_pivot198.95_minus8_ce.bat    P160 2^135 2^68   2305843009213693952  8000008000000000000000000000000000000000:800000ffffffffffffffffffffffffffffffffff
p160_277_SE_pivot198.95_minus8_ce.bat    P160 2^83  2^42   34359738368  800000904ad7e7d1d5d800000000000000000000:800000904ad7e7d1d5dfffffffffffffffffffff
p160_278_SE_pivot198.95_minus8_ce.bat    P160 2^82  2^41   17179869184  800000718c186d4284e400000000000000000000:800000718c186d4284e7ffffffffffffffffffff
p160_279_SE_pivot198.95_minus8_ce.bat    P160 2^82  2^41   17179869184  800000349c781fc2cde400000000000000000000:800000349c781fc2cde7ffffffffffffffffffff
p160_280_SE_pivot198.95_minus_n_g.bat    P160 2^46  2^23        65536  8000000000000000000000000000400000000000:80000000000000000000000000007fffffffffff
p160_281_SE_pivot198.95_minus_n_g.bat    P160 2^47  2^24       131072  8000000000000000000000000000800000000000:8000000000000000000000000000ffffffffffff
p160_282_SE_pivot198.95_to_n_bits.bat    P160 2^159 2^80   9444732965739290427392  8000000000000000000000000000000000000000:ffffffffffffffffffffffffffffffffffffffff
p160_283_SE_pivot198.95_to_n_bits.bat    P160 2^107 2^54   140737488355328  904ad7e7d1d5d800000000000000000000000000:904ad7e7d1d5dfffffffffffffffffffffffffff
p160_284_SE_pivot198.95_to_n_bits.bat    P160 2^107 2^54   140737488355328  e31830da8509c800000000000000000000000000:e31830da8509cfffffffffffffffffffffffffff
p160_285_SE_pivot198.95_to_n_bits.bat    P160 2^107 2^54   140737488355328  e938f03f859bc800000000000000000000000000:e938f03f859bcfffffffffffffffffffffffffff
p160_286_SE_pivot199.0_raw.bat           P160 2^90  2^45   274877906944  80004f40b903a1ec8c0000000000000000000000:80004f40b903a1ec8fffffffffffffffffffffff
p160_287_SE_pivot199.0_raw+form56.bat    P160 2^92  2^46   549755813888  80005957273d4bc1d00000000000000000000000:80005957273d4bc1dfffffffffffffffffffffff
p160_288_SE_pivot199.0_raw+form56.bat    P160 2^92  2^46   549755813888  8000464de13f59e9d00000000000000000000000:8000464de13f59e9dfffffffffffffffffffffff
p160_289_SE_pivot199.0_raw+form56.bat    P160 2^90  2^45   274877906944  800020932c6b4df33c0000000000000000000000:800020932c6b4df33fffffffffffffffffffffff
p160_290_SE_pivot199.0_minus8.bat        P160 2^82  2^41   17179869184  8000004f40b903a1ec8c00000000000000000000:8000004f40b903a1ec8fffffffffffffffffffff
p160_291_SE_pivot199.0_minus8+for.bat    P160 2^84  2^42   34359738368  8000005957273d4bc1d000000000000000000000:8000005957273d4bc1dfffffffffffffffffffff
p160_292_SE_pivot199.0_minus8+for.bat    P160 2^84  2^42   34359738368  800000464de13f59e9d000000000000000000000:800000464de13f59e9dfffffffffffffffffffff
p160_293_SE_pivot199.0_minus8+for.bat    P160 2^82  2^41   17179869184  80000020932c6b4df33c00000000000000000000:80000020932c6b4df33fffffffffffffffffffff
p160_294_SE_pivot198.0_raw.bat           P160 2^88  2^44   137438953472  800013d02e40e87b230000000000000000000000:800013d02e40e87b23ffffffffffffffffffffff
p160_295_SE_pivot198.0_raw+form56.bat    P160 2^90  2^45   274877906944  80001655c9cf52f0740000000000000000000000:80001655c9cf52f077ffffffffffffffffffffff
p160_296_SE_pivot198.0_raw+form56.bat    P160 2^90  2^45   274877906944  80001193784fd67a740000000000000000000000:80001193784fd67a77ffffffffffffffffffffff
p160_297_SE_pivot198.0_raw+form56.bat    P160 2^88  2^44   137438953472  80000824cb1ad37ccf0000000000000000000000:80000824cb1ad37ccfffffffffffffffffffffff
p160_298_SE_pivot198.0_raw_floor.bat     P160 2^140 2^70   9223372036854775808  8000100000000000000000000000000000000000:80001fffffffffffffffffffffffffffffffffff
p160_299_SE_pivot198.0_raw_floor+.bat    P160 2^88  2^44   137438953472  800012095afcfa3abb0000000000000000000000:800012095afcfa3abbffffffffffffffffffffff
p160_300_SE_pivot198.0_raw_floor+.bat    P160 2^87  2^44   137438953472  80000e31830da8509c8000000000000000000000:80000e31830da8509cffffffffffffffffffffff
p160_301_SE_pivot198.0_raw_floor+.bat    P160 2^87  2^44   137438953472  800006938f03f859bc8000000000000000000000:800006938f03f859bcffffffffffffffffffffff
p160_302_SE_pivot198.0_raw_ceil.bat      P160 2^141 2^71   18446744073709551616  8000200000000000000000000000000000000000:80003fffffffffffffffffffffffffffffffffff
p160_303_SE_pivot198.0_raw_ceil+f.bat    P160 2^89  2^45   274877906944  80002412b5f9f475760000000000000000000000:80002412b5f9f47577ffffffffffffffffffffff
p160_304_SE_pivot198.0_raw_ceil+f.bat    P160 2^88  2^44   137438953472  80001c63061b50a1390000000000000000000000:80001c63061b50a139ffffffffffffffffffffff
p160_305_SE_pivot198.0_raw_ceil+f.bat    P160 2^88  2^44   137438953472  80000d271e07f0b3790000000000000000000000:80000d271e07f0b379ffffffffffffffffffffff
p160_306_SE_pivot198.0_minus8.bat        P160 2^80  2^40   8589934592  80000013d02e40e87b2300000000000000000000:80000013d02e40e87b23ffffffffffffffffffff
p160_307_SE_pivot198.0_minus8+for.bat    P160 2^82  2^41   17179869184  8000001655c9cf52f07400000000000000000000:8000001655c9cf52f077ffffffffffffffffffff
p160_308_SE_pivot198.0_minus8+for.bat    P160 2^82  2^41   17179869184  8000001193784fd67a7400000000000000000000:8000001193784fd67a77ffffffffffffffffffff
p160_309_SE_pivot198.0_minus8+for.bat    P160 2^80  2^40   8589934592  8000000824cb1ad37ccf00000000000000000000:8000000824cb1ad37ccfffffffffffffffffffff
p160_310_SE_pivot198.0_minus8_flo.bat    P160 2^132 2^66   576460752303423488  8000001000000000000000000000000000000000:8000001fffffffffffffffffffffffffffffffff
p160_311_SE_pivot198.0_minus8_flo.bat    P160 2^80  2^40   8589934592  80000012095afcfa3abb00000000000000000000:80000012095afcfa3abbffffffffffffffffffff
p160_312_SE_pivot198.0_minus8_flo.bat    P160 2^79  2^40   8589934592  8000000e31830da8509c80000000000000000000:8000000e31830da8509cffffffffffffffffffff
p160_313_SE_pivot198.0_minus8_flo.bat    P160 2^79  2^40   8589934592  80000006938f03f859bc80000000000000000000:80000006938f03f859bcffffffffffffffffffff
p160_314_SE_pivot198.0_minus8_cei.bat    P160 2^133 2^67   1152921504606846976  8000002000000000000000000000000000000000:8000003fffffffffffffffffffffffffffffffff
p160_315_SE_pivot198.0_minus8_cei.bat    P160 2^81  2^41   17179869184  8000002412b5f9f4757600000000000000000000:8000002412b5f9f47577ffffffffffffffffffff
p160_316_SE_pivot198.0_minus8_cei.bat    P160 2^80  2^40   8589934592  8000001c63061b50a13900000000000000000000:8000001c63061b50a139ffffffffffffffffffff
p160_317_SE_pivot198.0_minus8_cei.bat    P160 2^80  2^40   8589934592  8000000d271e07f0b37900000000000000000000:8000000d271e07f0b379ffffffffffffffffffff
p160_318_SE_pivot198.0_minus_n_ga.bat    P160 2^44  2^22        32768  8000000000000000000000000000100000000000:80000000000000000000000000001fffffffffff
p160_319_SE_pivot198.0_minus_n_ga.bat    P160 2^45  2^23        65536  8000000000000000000000000000200000000000:80000000000000000000000000003fffffffffff
